IdN;Nazwisko;Imie;DZatr;DUr;Plec;Pensja;Pensum;Telefon
1;Palak;Kamil;2014-07-13;1988-07-09;K;2055.75;10;+48 782 352 431
2;Bąbel;Ida;2001-02-02;1974-01-15;K;7371.80;39;780 662 339
3;Gierak;Anna Maria;2011-04-22;1983-03-20;K;8805.57;38;+48 575 069 621
4;Sarniak;Kornelia;2012-02-03;1984-01-01;K;4494.97;22;793 406 538
5;Świątkiewicz;Konstanty;2007-12-23;1980-12-04;K;2922.48;12;+48 797 399 868
6;Mikusek;Ewa;1997-07-26;1970-07-08;M;98.82;27;781 817 156
7;Figat;Tobiasz;2013-02-07;1985-01-05;M;1040.14;26;502 321 054
8;Freitag;Łukasz;1990-12-15;1964-12-11;K;7742.11;35;510 927 310
9;Mijas;Mikołaj;1996-01-21;1967-12-19;M;9304.02;14;783 535 431
10;Ankiewicz;Kornel;2022-11-06;1994-10-04;K;6212.16;12;+48 666 515 326
11;Dydo;Damian;2010-07-30;1984-07-26;M;7776.88;33;609 991 046
12;Przekwas;Karol;2001-09-25;1974-09-07;K;1866.05;16;+48 22 065 54 75
13;Dolega;Borys;2020-04-15;1992-03-13;M;3940.85;23;+48 603 314 766
14;Wiercigroch;Sonia;2005-04-19;1977-03-17;M;7402.41;22;788 344 408
15;Fronczyk;Sonia;1995-07-07;1968-06-18;M;4218.48;26;32 141 05 21
16;Nikel;Julita;1995-05-12;1969-05-08;K;6599.16;33;883 019 545
17;Krochmal;Tymoteusz;2008-11-01;1981-10-14;K;9460.70;30;797 546 106
18;Kocurek;Jędrzej;2012-02-28;1985-02-09;K;4544.82;36;+48 609 491 209
19;Potyrała;Karina;1993-09-08;1965-08-06;M;4140.75;17;+48 691 358 539
20;Bidas;Róża;2015-03-29;1989-03-25;K;7052.75;36;+48 739 788 583
